Butter Paneer Kulcha Burger,₹249,Kulcha Burger
Peri-Peri Paneer Kulcha Burger,₹319,Kulcha Burger
Peri-Peri Chicken Kulcha Burger,₹328,Kulcha Burger
Butter Chicken Kulcha Burger,₹259,Kulcha Burger
Chicken Keema Kulcha Burger,₹259,Kulcha Burger
Veg Manchurian Gravy,₹198,Chinese Fried Rice & Noodle Bowl
Hakka Noodles (500g),₹280,Chinese Fried Rice & Noodle Bowl
Chilli Garlic Paneer,₹260,Chinese Fried Rice & Noodle Bowl
Chicken Manchurian Gravy,₹281,Chinese Fried Rice & Noodle Bowl
Chilli Garlic Chicken,₹330,Chinese Fried Rice & Noodle Bowl
"Kadhai Paneer, Soya Masala Sabzi & Jeera Pulao",₹259,3 Layer Rice Bowl
"Ghar Ke Rajma, Aloo Gobhi & Jeera Pulao",₹239,3 Layer Rice Bowl
"Butter Paneer, Aloo Gobhi & Jeera Pulao",₹268,3 Layer Rice Bowl
"Kadhai Paneer, Bhindi Chana & Jeera Pulao",₹268,3 Layer Rice Bowl
"Kadhai Chicken, Soya Masala Sabzi & Jeera Pulao",₹288,3 Layer Rice Bowl
"Butter Chicken, Aloo Gobhi & Jeera Pulao",₹288,3 Layer Rice Bowl
"Kadhai Chicken, Bhindi Chana & Jeera Pulao",₹288,3 Layer Rice Bowl
Mango Fruit Pop,₹219,Fruit Pop
Kadhai Paneer Deluxe Thali,₹399,Indian Thalis
Palak Paneer Deluxe Thali,₹398,Indian Thalis
Butter Paneer Deluxe Thali,₹407,Indian Thalis
Creamy Pesto Sauce Penne Pasta,₹299,Gourmet By EatFit
Poha,₹139,Breakfast And Snacks
Poha With Ratlami Sev,₹169,Breakfast And Snacks
Baked Bhakarwadi (50g),₹59,Breakfast And Snacks
Quinoa Bhujia (50g),₹69,Breakfast And Snacks
Ragi Chips (50g),₹59,Breakfast And Snacks
Signature Sabudana Khichdi,₹175,Healthy Khichdi
Quinoa Khichdi,₹215,Healthy Khichdi
Sabudana Khichdi,₹167,Healthy Khichdi
Whole Wheat Kulcha (2pcs),₹79,A La Carte
Whole Wheat Parathas (3pcs),₹68,A La Carte
Jeera Pulao (500g),₹149,A La Carte
Badam Kheer,₹79,Desserts & Juices
Seviya Kheer,₹99,Desserts & Juices
Mango Pudding,₹139,Desserts & Juices
Panjiri Laddu (500g),₹399,Desserts & Juices
Badam Kheer (400gm),₹153,Desserts & Juices
Banana Walnut Cake,₹89,Desserts & Juices
Butter Paneer Kulcha Burger,₹249,Kulcha Burger
Peri-Peri Paneer Kulcha Burger,₹319,Kulcha Burger
Peri-Peri Chicken Kulcha Burger,₹328,Kulcha Burger
Butter Chicken Kulcha Burger,₹259,Kulcha Burger
Chicken Keema Kulcha Burger,₹259,Kulcha Burger
Veg Manchurian Gravy,₹198,Chinese Fried Rice & Noodle Bowl
Hakka Noodles (500g),₹280,Chinese Fried Rice & Noodle Bowl
Chilli Garlic Paneer,₹260,Chinese Fried Rice & Noodle Bowl
Chicken Manchurian Gravy,₹281,Chinese Fried Rice & Noodle Bowl
Chilli Garlic Chicken,₹330,Chinese Fried Rice & Noodle Bowl
"Kadhai Paneer, Soya Masala Sabzi & Jeera Pulao",₹259,3 Layer Rice Bowl
"Ghar Ke Rajma, Aloo Gobhi & Jeera Pulao",₹239,3 Layer Rice Bowl
"Butter Paneer, Aloo Gobhi & Jeera Pulao",₹268,3 Layer Rice Bowl
"Kadhai Paneer, Bhindi Chana & Jeera Pulao",₹268,3 Layer Rice Bowl
"Kadhai Chicken, Soya Masala Sabzi & Jeera Pulao",₹288,3 Layer Rice Bowl
"Butter Chicken, Aloo Gobhi & Jeera Pulao",₹288,3 Layer Rice Bowl
"Kadhai Chicken, Bhindi Chana & Jeera Pulao",₹288,3 Layer Rice Bowl
Mango Fruit Pop,₹219,Fruit Pop
Kadhai Paneer Deluxe Thali,₹399,Indian Thalis
Palak Paneer Deluxe Thali,₹398,Indian Thalis
Butter Paneer Deluxe Thali,₹407,Indian Thalis
Creamy Pesto Sauce Penne Pasta,₹299,Gourmet By EatFit
Poha,₹139,Breakfast And Snacks
Poha With Ratlami Sev,₹169,Breakfast And Snacks
Baked Bhakarwadi (50g),₹59,Breakfast And Snacks
Quinoa Bhujia (50g),₹69,Breakfast And Snacks
Ragi Chips (50g),₹59,Breakfast And Snacks
Signature Sabudana Khichdi,₹175,Healthy Khichdi
Quinoa Khichdi,₹215,Healthy Khichdi
Sabudana Khichdi,₹167,Healthy Khichdi
Whole Wheat Kulcha (2pcs),₹79,A La Carte
Whole Wheat Parathas (3pcs),₹68,A La Carte
Jeera Pulao (500g),₹149,A La Carte
Badam Kheer,₹79,Desserts & Juices
Seviya Kheer,₹99,Desserts & Juices
Mango Pudding,₹139,Desserts & Juices
Panjiri Laddu (500g),₹399,Desserts & Juices
Badam Kheer (400gm),₹153,Desserts & Juices
Banana Walnut Cake,₹89,Desserts & Juices
